108,0
100,0
91,0
368,0
314,0
180,0
176,0
166,0
141,0
139,0
130,0
129,0
127,0
124,0
123,0
120,0
115,0
114,0
111,0
107,0
104,0
103,0
103,0
102,0
101,0
98,0
98,0
97,0
96,0
95,0
95,0
91,0
91,0
91,0
177,0
153,0
151,0
128,0
122,0
112,0
111,0
110,0
105,0
102,0
101,0
95,0
94,0
94,0
92,0
92,0
497,1
479,1
411,1
397,1
366,1
354,1
266,1
233,1
211,1
187,1
176,1
154,1
139,1
139,1
126,1
113,1
108,1
106,1
102,1
101,1
98,1
94,1
93,1
92,1
92,1
404,1
286,1
247,1
220,1
199,1
196,1
188,1
165,1
137,1
127,1
109,1
109,1
108,1
107,1
91,1
310,1
305,1
226,1
213,1
147,1
128,1
115,1
111,1
105,1
103,1
587,2
366,2
309,2
186,2
172,2
153,2
138,2
130,2
112,2
111,2
106,2
103,2
103,2
100,2
96,2
96,2
94,2
557,2
312,2
242,2
227,2
202,2
187,2
149,2
144,2
138,2
124,2
112,2
100,2
98,2
94,2
93,2
92,2
92,2
511,2
282,2
194,2
174,2
155,2
155,2
140,2
137,2
133,2
122,2
121,2
117,2
108,2
101,2
98,2
92,2
885,3
516,3
478,3
445,3
424,3
355,3
281,3
277,3
244,3
195,3
192,3
187,3
168,3
163,3
147,3
145,3
143,3
118,3
113,3
110,3
106,3
102,3
102,3
96,3
92,3
91,3
282,3
260,3
242,3
181,3
157,3
128,3
120,3
114,3
99,3
269,3
266,3
265,3
211,3
185,3
171,3
158,3
142,3
132,3
128,3
111,3
106,3
104,3
104,3
95,3
663,4
624,4
581,4
563,4
470,4
453,4
353,4
346,4
311,4
309,4
306,4
300,4
257,4
215,4
204,4
188,4
168,4
152,4
140,4
133,4
132,4
103,4
98,4
96,4
96,4
94,4
516,4
515,4
425,4
334,4
206,4
189,4
188,4
167,4
165,4
136,4
131,4
123,4
118,4
115,4
99,4
96,4
526,4
485,4
367,4
240,4
191,4
148,4
101,4
91,4
606,5
242,5
105,5
510,5
469,5
464,5
438,5
316,5
298,5
288,5
160,5
141,5
141,5
138,5
134,5
127,5
109,5
99,5
98,5
381,5
289,5
283,5
265,5
256,5
237,5
205,5
191,5
171,5
169,5
167,5
158,5
157,5
151,5
144,5
140,5
123,5
109,5
106,5
105,5
104,5
103,5
102,5
101,5
101,5
100,5
99,5
96,5
93,5
92,5
91,5
525,6
424,6
347,6
338,6
254,6
242,6
215,6
198,6
194,6
184,6
167,6
164,6
154,6
143,6
122,6
121,6
120,6
118,6
108,6
103,6
102,6
94,6
584,6
411,6
330,6
326,6
301,6
250,6
176,6
167,6
160,6
159,6
148,6
137,6
126,6
121,6
120,6
103,6
100,6
97,6
296,6
208,6
189,6
140,6
108,6
94,6
92,6
92,6
91,6
91,6
797,7
668,7
409,7
374,7
344,7
278,7
243,7
205,7
177,7
161,7
158,7
154,7
128,7
118,7
110,7
100,7
100,7
96,7
96,7
574,7
352,7
350,7
337,7
272,7
231,7
204,7
197,7
182,7
169,7
160,7
152,7
144,7
133,7
106,7
104,7
96,7
722,7
590,7
373,7
345,7
258,7
214,7
209,7
168,7
139,7
123,7
118,7
104,7
104,7
95,7
811,8
458,8
431,8
334,8
225,8
202,8
201,8
157,8
130,8
124,8
106,8
105,8
96,8
695,8
485,8
451,8
380,8
282,8
280,8
222,8
213,8
211,8
206,8
173,8
148,8
128,8
108,8
103,8
93,8
92,8
584,8
508,8
507,8
361,8
359,8
323,8
283,8
231,8
158,8
156,8
136,8
116,8
114,8
106,8
101,8
99,8
95,8
93,8
93,8
91,8
